100.0, 16, 1
P-001, ULD-1, 0, 0, 0, 80, 60, 50
P-002, ULD-1, 0, 0, 50, 100, 80, 110
P-003, ULD-1, 0, 0, 110, 60, 50, 150
P-004, ULD-1, 0, 80, 0, 120, 170, 70
P-005, ULD-1, 0, 50, 110, 70, 110, 160
P-006, ULD-1, 0, 110, 70, 90, 180, 130
E-001, ULD-2, 0, 0, 0, 80, 60, 50
E-002, ULD-2, 0, 0, 50, 110, 80, 120
E-003, ULD-1, 0, 110, 130, 50, 150, 160
E-004, ULD-2, 0, 80, 0, 90, 150, 60
E-005, ULD-2, 0, 0, 120, 60, 50, 160
E-006, ULD-2, 0, 80, 60, 130, 180, 140
E-007, ULD-2, 80, 0, 0, 150, 55, 45
E-008, ULD-2, 60, 0, 120, 100, 35, 150
E-009, ULD-3, 0, 0, 0, 95, 75, 65
E-010, ULD-2, 60, 35, 120, 115, 80, 155
