41720.0, 179, 4
P-2, U5, 0, 0, 0, 81, 99, 56
P-3, U5, 0, 99, 0, 101, 150, 42
P-6, U5, 101, 99, 0, 185, 190, 56
P-9, U5, 101, 190, 0, 189, 263, 71
P-10, U5, 0, 150, 0, 88, 235, 70
P-15, U5, 189, 190, 0, 238, 274, 60
P-16, U5, 185, 99, 0, 233, 162, 93
P-17, U5, 0, 235, 0, 83, 298, 57
P-20, U5, 81, 0, 0, 187, 88, 56
P-23, U5, 101, 263, 0, 152, 313, 110
P-36, U5, 101, 99, 56, 181, 185, 134
P-41, U5, 101, 190, 71, 205, 258, 161
P-42, U5, 187, 0, 0, 228, 62, 109
P-45, U5, 0, 235, 57, 91, 316, 129
P-46, U5, 81, 0, 56, 152, 94, 118
P-49, U5, 0, 99, 42, 100, 139, 111
P-50, U5, 0, 150, 70, 73, 214, 174
P-68, U5, 0, 0, 56, 81, 92, 102
P-69, U5, 185, 99, 93, 239, 183, 140
P-71, U5, 101, 263, 110, 200, 306, 170
P-73, U5, 81, 0, 118, 185, 86, 181
P-82, U5, 0, 235, 129, 97, 306, 195
P-86, U5, 187, 0, 109, 228, 65, 172
P-94, U5, 0, 0, 102, 67, 98, 168
P-103, U5, 185, 99, 140, 229, 177, 242
P-105, U5, 0, 150, 174, 103, 230, 269
P-106, U5, 101, 263, 170, 193, 317, 260
P-109, U5, 0, 99, 111, 98, 143, 190
P-112, U5, 81, 0, 181, 160, 67, 244
P-117, U5, 101, 99, 134, 166, 148, 186
P-124, U5, 187, 0, 172, 241, 72, 276
P-125, U5, 0, 235, 195, 91, 303, 280
P-126, U5, 0, 0, 168, 64, 85, 228
P-129, U6, 0, 0, 0, 85, 110, 59
P-133, U6, 0, 110, 0, 109, 201, 63
P-134, U6, 109, 110, 0, 206, 198, 80
P-136, U5, 0, 99, 190, 102, 146, 256
P-139, U6, 109, 198, 0, 205, 282, 75
P-142, U6, 85, 0, 0, 168, 92, 74
P-145, U6, 0, 201, 0, 106, 280, 75
P-147, U5, 0, 0, 228, 65, 55, 274
P-148, U6, 168, 0, 0, 235, 100, 49
P-150, U5, 189, 274, 0, 243, 316, 58
P-157, U6, 109, 198, 75, 197, 286, 129
P-162, U6, 168, 0, 49, 233, 104, 95
P-163, U6, 0, 201, 75, 83, 284, 124
P-165, U6, 109, 198, 129, 212, 294, 222
P-168, U6, 109, 110, 80, 197, 197, 148
P-180, U6, 0, 110, 63, 80, 181, 122
P-181, U6, 85, 0, 74, 143, 98, 131
P-183, U6, 0, 0, 59, 72, 105, 116
P-187, U6, 168, 0, 95, 222, 84, 173
P-188, U6, 0, 201, 124, 86, 252, 175
P-199, U6, 0, 252, 124, 73, 310, 191
P-207, U6, 0, 110, 122, 95, 180, 167
P-211, U6, 85, 0, 131, 166, 96, 226
P-212, U6, 109, 110, 148, 214, 184, 196
P-214, U6, 0, 0, 116, 81, 61, 174
P-215, U6, 0, 110, 167, 87, 199, 247
P-216, U6, 0, 61, 116, 83, 105, 180
P-217, U6, 168, 0, 173, 242, 78, 245
P-219, U6, 0, 252, 191, 94, 313, 267
P-222, U6, 0, 201, 175, 88, 242, 248
P-224, U6, 109, 110, 196, 208, 178, 252
P-226, U6, 109, 198, 222, 183, 270, 282
P-232, U6, 0, 61, 180, 84, 108, 247
P-236, U6, 183, 198, 222, 239, 289, 278
P-238, U6, 85, 0, 226, 154, 102, 276
P-252, U3, 0, 0, 0, 95, 110, 48
P-255, U3, 0, 110, 0, 98, 206, 64
P-264, U6, 0, 0, 174, 68, 60, 282
P-265, U6, 109, 270, 222, 169, 317, 280
P-266, U3, 98, 110, 0, 186, 171, 53
P-270, U3, 186, 110, 0, 238, 180, 47
P-273, U3, 98, 171, 0, 183, 250, 71
P-274, U3, 0, 206, 0, 88, 316, 75
P-275, U3, 186, 180, 0, 231, 257, 74
P-277, U3, 95, 0, 0, 203, 105, 54
P-280, U3, 186, 257, 0, 239, 318, 90
P-282, U3, 95, 0, 54, 187, 107, 108
P-283, U3, 0, 206, 75, 100, 303, 141
P-284, U3, 98, 110, 53, 208, 162, 123
P-285, U3, 0, 0, 48, 81, 108, 102
P-295, U3, 186, 180, 74, 235, 249, 183
P-297, U3, 95, 0, 108, 198, 101, 176
P-299, U3, 0, 110, 64, 87, 193, 144
P-300, U3, 98, 110, 123, 199, 179, 220
P-304, U3, 0, 0, 102, 89, 68, 153
P-310, U3, 98, 250, 0, 163, 309, 43
P-319, U3, 0, 206, 141, 102, 307, 189
P-320, U3, 186, 257, 90, 243, 310, 154
P-329, U3, 0, 110, 144, 94, 175, 202
P-333, U3, 0, 0, 153, 85, 100, 225
P-345, U3, 186, 257, 154, 233, 300, 232
P-346, U4, 0, 0, 0, 95, 110, 83
P-350, U3, 95, 0, 176, 180, 69, 236
P-352, U3, 0, 206, 189, 89, 272, 232
P-353, U4, 0, 110, 0, 70, 176, 61
P-356, U4, 70, 110, 0, 169, 205, 77
P-360, U4, 70, 205, 0, 150, 281, 53
P-365, U4, 150, 205, 0, 238, 315, 95
P-366, U4, 95, 0, 0, 166, 105, 56
P-394, U4, 95, 0, 56, 204, 90, 137
P-1, U4, 0, 176, 0, 55, 275, 53
P-4, U4, 166, 0, 0, 241, 108, 56
P-5, U4, 169, 110, 0, 233, 198, 58
P-7, U4, 70, 205, 53, 148, 298, 141
P-8, U4, 70, 110, 77, 178, 186, 182
P-11, U4, 0, 176, 53, 55, 257, 133
P-12, U4, 150, 205, 95, 238, 285, 143
P-13, U4, 0, 0, 83, 94, 87, 138
P-14, U3, 0, 272, 189, 81, 318, 234
P-18, U4, 95, 0, 137, 190, 101, 205
P-19, U4, 0, 110, 61, 69, 161, 148
P-21, U4, 0, 0, 138, 71, 105, 243
P-22, U4, 150, 205, 143, 242, 305, 242
P-24, U4, 70, 205, 141, 125, 314, 222
P-25, U4, 0, 176, 133, 53, 253, 177
P-26, U4, 0, 110, 148, 69, 166, 221
P-27, U4, 0, 176, 177, 62, 269, 226
P-28, U1, 0, 0, 0, 81, 95, 64
P-29, U4, 70, 110, 182, 156, 172, 235
P-30, U1, 0, 95, 0, 102, 183, 85
P-31, U1, 102, 95, 0, 178, 166, 49
P-32, U1, 102, 166, 0, 200, 236, 44
P-33, U1, 102, 236, 0, 192, 309, 89
P-34, U1, 81, 0, 0, 168, 81, 45
P-35, U1, 0, 183, 0, 83, 255, 63
P-37, U3, 186, 180, 183, 237, 256, 242
P-38, U1, 168, 0, 0, 216, 84, 96
P-39, U1, 0, 255, 0, 96, 316, 64
P-40, U1, 178, 95, 0, 223, 165, 90
P-43, U1, 102, 166, 44, 210, 217, 130
P-44, U4, 0, 275, 0, 49, 315, 84
P-47, U1, 81, 0, 45, 167, 58, 149
P-48, U1, 102, 95, 49, 167, 148, 97
P-51, U1, 0, 255, 64, 97, 312, 150
P-52, U2, 0, 0, 0, 102, 104, 88
P-53, U1, 102, 236, 89, 208, 289, 133
P-54, U1, 102, 95, 97, 208, 154, 148
P-55, U1, 0, 0, 64, 77, 95, 157
P-56, U1, 0, 95, 85, 68, 204, 150
P-57, U2, 0, 104, 0, 83, 168, 59
P-58, U2, 83, 104, 0, 178, 206, 55
P-59, U2, 83, 206, 0, 168, 285, 49
P-60, U2, 102, 0, 0, 189, 85, 60
P-61, U2, 0, 168, 0, 57, 277, 95
P-62, U2, 168, 206, 0, 211, 298, 88
P-63, U2, 83, 206, 49, 168, 281, 118
P-64, U2, 83, 104, 55, 187, 204, 111
P-65, U2, 102, 0, 60, 212, 78, 110
P-66, U1, 168, 0, 96, 218, 86, 143
P-67, U2, 0, 104, 59, 76, 161, 160
P-72, U2, 0, 168, 95, 83, 257, 139
P-74, U2, 0, 0, 88, 87, 73, 157
P-75, U2, 168, 206, 88, 211, 291, 162
P-76, U3, 203, 0, 0, 243, 96, 92
P-77, U2, 83, 104, 111, 179, 169, 161
P-78, U2, 83, 206, 118, 157, 310, 160
P-80, U4, 0, 275, 84, 44, 318, 169
P-85, U2, 178, 104, 0, 222, 172, 47
P-90, U2, 102, 0, 110, 204, 98, 154
P-119, U3, 203, 0, 92, 244, 104, 171
P-123, U4, 204, 0, 56, 244, 62, 99
P-130, U4, 204, 62, 56, 244, 107, 134
P-164, U4, 204, 62, 134, 244, 149, 236
P-177, U2, 0, 277, 0, 44, 318, 99
P-202, U4, 204, 0, 99, 244, 52, 193
P-205, U3, 95, 69, 176, 204, 109, 223
P-206, U3, 0, 68, 102, 60, 109, 149
P-221, U4, 156, 110, 182, 200, 178, 231
P-260, U5, 185, 99, 242, 234, 198, 285
P-271, U3, 0, 110, 202, 92, 154, 243
P-272, U4, 0, 275, 169, 64, 315, 244
P-291, U6, 168, 0, 245, 242, 81, 285
P-324, U3, 203, 0, 171, 244, 68, 211
P-337, U5, 81, 0, 244, 183, 77, 284
P-357, U2, 0, 277, 99, 58, 317, 155
P-380, U5, 0, 55, 228, 62, 96, 284
P-70, NONE, -1, -1, -1, -1, -1, -1
P-79, NONE, -1, -1, -1, -1, -1, -1
P-81, NONE, -1, -1, -1, -1, -1, -1
P-83, NONE, -1, -1, -1, -1, -1, -1
P-84, NONE, -1, -1, -1, -1, -1, -1
P-87, NONE, -1, -1, -1, -1, -1, -1
P-88, NONE, -1, -1, -1, -1, -1, -1
P-89, NONE, -1, -1, -1, -1, -1, -1
P-91, NONE, -1, -1, -1, -1, -1, -1
