4411

U1,255,317,179,3631
U2,307,209,295,3647
U3,244,273,270,2922
U4,271,156,258,3046
U5,326,184,170,3223

P-1,67,21,115,63,Economy,172
P-2,20,76,90,146,Priority,-
P-3,103,37,111,84,Economy,94
P-4,101,86,106,144,Economy,193
P-5,83,109,118,71,Economy,114
P-6,29,64,118,99,Economy,183
P-7,66,87,118,41,Priority,-
P-8,20,115,55,19,Economy,115
P-9,105,45,25,47,Economy,165
P-10,40,55,108,62,Priority,-
P-11,91,31,57,27,Economy,173
P-12,88,100,35,28,Economy,192
P-13,41,67,26,143,Economy,80
P-14,27,38,74,132,Economy,188
P-15,68,30,56,105,Priority,-
P-16,105,40,107,12,Priority,-
P-17,105,26,118,56,Priority,-
P-18,68,39,91,105,Economy,133
P-19,114,73,56,21,Economy,124
P-20,92,69,45,73,Priority,-
P-21,70,88,68,132,Economy,108
P-22,21,59,94,150,Priority,-
P-23,103,99,74,142,Economy,113
P-24,48,81,81,24,Economy,182
P-25,75,33,98,13,Priority,-
P-26,97,101,95,119,Economy,122
P-27,39,74,117,102,Priority,-
