5158

U1,240,279,309,3674
U2,169,165,224,3527
U3,290,277,215,2930
U4,318,199,271,3750
U5,170,199,209,2885
U6,290,337,184,2394

P-1,91,60,40,97,Priority,-
P-2,33,99,86,112,Economy,197
P-3,90,117,48,26,Economy,158
P-4,97,26,26,69,Economy,126
P-5,112,83,26,112,Economy,198
P-6,94,106,31,43,Economy,73
P-7,101,50,120,150,Economy,190
P-8,106,48,90,91,Economy,82
P-9,111,37,120,52,Priority,-
P-10,94,85,38,24,Priority,-
P-11,79,110,102,146,Priority,-
P-12,84,24,95,139,Economy,119
P-13,64,82,62,35,Economy,52
P-14,72,117,110,101,Economy,98
P-15,77,51,35,12,Economy,113
P-16,31,120,38,34,Economy,140
P-17,80,109,34,106,Economy,84
P-18,64,28,76,29,Economy,171
P-19,118,54,91,109,Economy,117
P-20,42,60,114,13,Priority,-
P-21,118,56,88,136,Economy,158
P-22,57,23,51,75,Priority,-
P-23,38,80,57,63,Economy,101
P-24,61,92,101,58,Economy,83
P-25,80,50,98,46,Economy,186
P-26,59,100,51,46,Priority,-
P-27,42,111,80,109,Priority,-
P-28,103,110,20,123,Economy,162
P-29,63,69,37,140,Priority,-
P-30,57,31,117,33,Economy,52
