5190

U1,154,314,274,2187
U2,338,275,310,3466
U3,192,216,158,3746
U4,162,322,209,2636
U5,342,181,306,2871
U6,342,303,264,2791

P-1,51,82,56,51,Economy,87
P-2,59,42,66,131,Priority,-
P-3,66,78,87,95,Economy,126
P-4,60,69,86,62,Economy,156
P-5,67,87,96,138,Economy,94
P-6,23,62,90,77,Economy,88
P-7,102,120,62,150,Priority,-
P-8,100,62,64,20,Priority,-
P-9,60,66,109,81,Priority,-
P-10,51,40,118,80,Priority,-
P-11,85,37,88,63,Economy,68
P-12,77,48,85,71,Priority,-
P-13,45,64,73,85,Economy,69
P-14,86,55,114,115,Economy,91
P-15,44,102,100,102,Economy,63
P-16,113,28,90,102,Priority,-
P-17,60,114,88,123,Economy,126
P-18,115,29,72,122,Economy,132
P-19,77,86,49,66,Economy,183
P-20,82,81,41,30,Economy,124
P-21,67,25,43,91,Priority,-
P-22,96,78,95,115,Economy,181
