6885

U1,280,244,187,2395
U2,222,250,175,2115
U3,259,289,337,2057
U4,276,197,190,3736
U5,168,262,246,3062

P-1,38,118,88,27,Economy,112
P-2,85,24,52,51,Economy,52
P-3,35,104,89,17,Economy,187
P-4,85,27,105,43,Priority,-
P-5,112,33,27,107,Economy,84
P-6,23,20,65,87,Economy,131
P-7,33,106,43,57,Economy,72
P-8,30,113,120,74,Priority,-
P-9,113,23,43,54,Economy,67
P-10,74,61,92,122,Economy,70
P-11,90,51,31,15,Priority,-
P-12,103,50,34,30,Priority,-
P-13,114,119,60,81,Priority,-
P-14,30,58,88,107,Priority,-
P-15,96,23,87,116,Economy,196
P-16,116,29,116,24,Priority,-
P-17,65,40,33,103,Priority,-
P-18,54,114,66,120,Priority,-
P-19,102,34,35,35,Economy,143
P-20,34,109,60,56,Economy,77
P-21,45,58,80,91,Economy,75
P-22,120,35,108,89,Priority,-
P-23,31,77,98,148,Economy,153
P-24,20,53,66,40,Priority,-
P-25,103,77,26,70,Economy,155
P-26,48,31,60,130,Priority,-
P-27,35,22,40,45,Economy,140
P-28,52,38,103,117,Priority,-
P-29,76,22,41,108,Economy,147
P-30,37,92,51,40,Priority,-
P-31,60,111,118,81,Priority,-
P-32,22,42,59,72,Priority,-
P-33,48,111,83,12,Economy,137
P-34,29,95,30,71,Priority,-
P-35,116,51,22,88,Economy,64
P-36,29,74,29,101,Economy,189
