4846

U1,295,303,286,3672
U2,300,282,330,2867
U3,277,293,150,2564
U4,157,232,321,2846
U5,252,173,289,2612

P-1,83,67,51,136,Priority,-
P-2,118,116,98,56,Economy,146
P-3,48,107,81,95,Economy,55
P-4,52,97,112,118,Economy,78
P-5,116,76,53,64,Economy,119
P-6,77,65,108,82,Economy,59
P-7,50,57,52,48,Economy,181
P-8,55,107,62,46,Economy,184
P-9,96,29,88,121,Priority,-
P-10,23,87,78,59,Priority,-
P-11,26,48,100,66,Priority,-
P-12,52,50,82,148,Economy,90
P-13,109,113,39,148,Economy,74
P-14,27,37,47,83,Economy,153
P-15,93,96,112,79,Economy,116
P-16,68,77,26,81,Economy,125
P-17,72,86,71,150,Priority,-
P-18,59,33,101,85,Economy,111
P-19,102,71,86,123,Economy,189
P-20,24,47,25,32,Economy,67
P-21,101,67,76,103,Economy,187
