3226

U1,160,241,227,2051
U2,196,261,174,3043
U3,274,244,305,2863

P-1,90,44,58,124,Economy,146
P-2,50,80,47,130,Economy,77
P-3,66,110,26,123,Economy,69
P-4,91,103,96,94,Economy,73
P-5,81,86,79,27,Economy,127
P-6,113,59,120,90,Economy,91
P-7,77,83,86,131,Priority,-
P-8,109,101,91,68,Economy,139
P-9,106,67,98,25,Economy,103
P-10,84,97,35,114,Priority,-
P-11,78,69,24,77,Economy,111
P-12,33,91,22,64,Priority,-
P-13,116,88,83,86,Priority,-
P-14,83,31,107,99,Priority,-
P-15,72,25,87,144,Economy,194
P-16,104,77,85,54,Economy,134
P-17,86,61,51,52,Priority,-
P-18,94,81,110,59,Economy,185
P-19,45,105,52,93,Economy,67
P-20,56,105,21,28,Economy,180
P-21,118,30,120,137,Priority,-
P-22,74,75,98,143,Economy,126
P-23,23,94,23,136,Economy,170
P-24,95,74,32,67,Priority,-
P-25,21,48,73,118,Priority,-
P-26,113,73,115,72,Economy,87
P-27,58,22,38,109,Priority,-
P-28,101,80,28,12,Economy,169
P-29,116,109,34,75,Priority,-
P-30,101,32,34,124,Economy,200
P-31,94,28,62,129,Economy,52
P-32,69,36,67,98,Priority,-
P-33,103,101,46,104,Priority,-
P-34,61,81,88,42,Priority,-
P-35,62,117,79,89,Priority,-
P-36,31,93,28,35,Priority,-
P-37,100,111,99,42,Economy,137
P-38,26,39,94,31,Priority,-
P-39,93,75,76,33,Priority,-
P-40,34,31,50,67,Economy,78
