7484

U1,311,309,271,2362
U2,192,318,210,3708
U3,173,247,185,2234

P-1,108,34,74,101,Economy,180
P-2,71,55,65,86,Economy,95
P-3,31,72,45,117,Economy,129
P-4,97,40,88,19,Economy,107
P-5,102,64,112,130,Economy,196
P-6,32,31,67,37,Economy,73
P-7,72,85,45,148,Priority,-
P-8,62,80,66,89,Priority,-
P-9,55,113,86,37,Economy,180
P-10,21,109,79,25,Economy,147
P-11,84,42,24,77,Priority,-
P-12,69,55,111,78,Economy,89
P-13,103,113,115,41,Priority,-
P-14,31,79,82,65,Economy,131
P-15,111,42,57,75,Economy,189
P-16,26,99,53,32,Priority,-
P-17,62,116,40,31,Priority,-
P-18,32,87,22,36,Priority,-
P-19,52,85,75,94,Economy,145
P-20,96,61,22,64,Economy,170
P-21,31,94,51,141,Priority,-
P-22,103,30,39,70,Economy,155
P-23,30,42,99,14,Economy,165
P-24,39,20,108,71,Economy,156
P-25,55,103,64,108,Economy,63
P-26,60,96,54,12,Economy,153
P-27,50,29,37,114,Economy,138
P-28,103,54,76,13,Economy,109
P-29,44,44,84,62,Economy,102
